"id";"time_stamp";"person";"bicycle";"car";"motorcycle";"bus";"truck";"cat";"dog"
1;"2021-07-14 13:39:58";1;1;1;1;1;1;1;1
3;"2021-07-14 13:48:52";1;1;1;1;1;1;1;1
7;"2021-07-14 13:51:35";1;1;1;1;1;1;1;1
8;"2021-07-14 13:53:46";1;1;1;1;1;1;1;1
9;"2021-07-14 13:54:07";1;1;1;1;1;1;1;1
10;"2021-07-14 13:59:20";1;2;3;4;5;6;7;8
11;"2021-07-14 14:57:25";0;0;0;0;0;0;0;0
12;"2021-07-14 15:14:00";0;0;0;0;0;0;0;0
13;"2021-07-14 15:15:20";0;0;0;0;0;0;0;0
14;"2021-07-14 15:45:00";4;0;23;0;0;0;0;0
15;"2021-07-14 16:00:00";20;0;42;1;1;2;0;0
16;"2021-07-14 16:15:00";13;0;77;2;0;0;0;0
17;"2021-07-14 16:29:59";7;0;79;0;0;4;0;0
18;"2021-07-14 16:45:00";1;0;27;0;0;0;0;0
19;"2021-07-14 17:00:00";0;0;3;0;0;0;0;0
20;"2021-07-14 17:15:00";0;0;7;0;0;0;0;0
21;"2021-07-14 17:30:00";0;0;10;0;0;0;0;0
22;"2021-07-14 17:44:59";0;0;7;0;0;0;0;0
23;"2021-07-14 18:00:00";0;0;3;0;0;0;0;0
24;"2021-07-14 18:15:00";0;0;4;0;0;0;0;0
25;"2021-07-14 18:30:00";0;0;3;0;0;0;0;0
26;"2021-07-14 18:45:00";0;0;6;0;0;0;0;0
27;"2021-07-14 19:00:00";0;0;4;0;0;0;0;0
28;"2021-07-14 19:15:00";1;0;24;0;0;0;0;0
29;"2021-07-14 19:30:00";4;0;18;1;0;0;0;0
30;"2021-07-14 19:45:00";4;0;15;0;0;0;0;0
31;"2021-07-14 20:00:00";10;0;12;0;0;3;0;0
32;"2021-07-14 20:15:00";3;0;17;0;0;0;0;0
33;"2021-07-14 20:30:00";5;0;10;0;0;0;0;0
34;"2021-07-14 20:45:00";6;0;8;0;0;0;0;0
35;"2021-07-14 21:00:00";8;0;8;0;0;0;0;0
36;"2021-07-15 05:45:00";1;0;2;0;0;0;0;0
37;"2021-07-15 05:59:59";6;1;17;1;0;0;0;0
38;"2021-07-15 06:15:00";3;0;26;1;0;2;0;0
39;"2021-07-15 06:30:00";4;0;16;0;0;0;0;0
40;"2021-07-15 06:45:00";4;0;40;0;0;0;0;0
41;"2021-07-15 07:00:00";6;0;51;1;0;0;0;0
42;"2021-07-15 07:15:00";17;0;71;1;0;1;0;0
43;"2021-07-15 07:30:00";7;0;74;0;0;1;0;0
44;"2021-07-15 07:45:00";10;0;63;0;1;0;0;0
45;"2021-07-15 08:00:00";3;0;62;0;0;0;0;0
46;"2021-07-15 08:15:00";5;0;52;0;0;0;0;0
47;"2021-07-15 08:30:00";9;0;61;0;0;0;0;0
48;"2021-07-15 08:45:00";3;0;59;0;0;0;0;0
49;"2021-07-15 09:00:00";7;0;41;0;1;0;0;0
50;"2021-07-15 09:15:00";8;0;36;1;0;0;0;0
51;"2021-07-15 09:30:00";0;0;48;0;0;0;0;0
52;"2021-07-15 09:45:00";5;0;55;0;0;0;0;0
53;"2021-07-15 10:00:00";12;0;47;1;0;0;0;0
54;"2021-07-15 10:15:00";11;0;41;0;0;0;0;0
55;"2021-07-15 10:30:00";7;0;35;1;0;0;0;0
56;"2021-07-15 10:45:00";5;0;31;0;1;0;0;0
57;"2021-07-15 11:00:00";7;1;46;0;0;1;0;0
58;"2021-07-15 11:15:00";10;0;43;1;3;4;0;0
59;"2021-07-15 11:30:00";7;2;48;0;0;1;0;0
60;"2021-07-15 11:45:00";6;0;48;0;0;1;0;0
61;"2021-07-15 12:00:00";19;0;52;1;0;4;0;0
62;"2021-07-15 12:14:59";6;0;43;0;0;1;0;0
63;"2021-07-15 12:30:00";22;1;41;0;0;1;0;0
64;"2021-07-15 12:45:00";5;1;49;0;0;1;0;0
65;"2021-07-15 13:00:00";14;0;40;0;0;0;0;0
66;"2021-07-15 13:15:00";10;0;54;0;0;0;0;0
67;"2021-07-15 13:30:00";6;1;50;1;1;0;0;0
68;"2021-07-15 13:45:00";6;0;51;1;3;3;0;0
69;"2021-07-15 14:00:00";22;2;51;1;1;0;0;0
70;"2021-07-15 14:15:00";14;1;48;0;1;3;0;0
71;"2021-07-15 14:30:00";9;0;63;0;0;7;0;0
72;"2021-07-15 14:45:00";14;0;66;1;1;1;0;0
73;"2021-07-15 15:00:00";30;1;62;0;1;4;0;0
74;"2021-07-15 15:15:00";13;1;69;0;0;5;0;0
75;"2021-07-15 15:30:00";14;0;49;0;2;3;0;0
76;"2021-07-15 15:45:00";9;0;51;0;3;3;0;0
77;"2021-07-15 16:00:00";18;0;63;0;1;4;0;0
78;"2021-07-15 16:15:00";8;0;66;0;0;6;0;0
79;"2021-07-15 16:30:00";15;0;32;0;1;2;0;0
80;"2021-07-15 16:45:00";20;0;48;0;0;4;0;0
81;"2021-07-15 17:00:00";21;0;61;0;0;5;0;0
82;"2021-07-15 17:15:00";7;0;44;0;1;0;0;0
83;"2021-07-15 17:30:00";7;0;39;1;0;3;0;0
84;"2021-07-15 17:45:00";9;0;40;1;0;2;0;0
85;"2021-07-15 18:00:00";7;0;34;0;0;0;0;0
86;"2021-07-15 18:14:59";12;0;22;0;0;0;0;0
87;"2021-07-15 18:30:00";13;0;22;0;0;0;0;0
88;"2021-07-15 18:45:00";9;0;19;0;0;0;0;0
89;"2021-07-15 19:00:00";17;0;22;0;0;1;0;0
90;"2021-07-15 19:15:00";16;0;36;1;0;0;0;0
91;"2021-07-15 19:30:00";21;0;23;0;0;0;0;0
92;"2021-07-15 19:45:00";22;0;19;0;0;0;0;0
93;"2021-07-15 20:00:00";5;0;24;1;0;0;0;0
94;"2021-07-15 20:15:00";7;0;21;0;0;0;0;0
95;"2021-07-15 20:30:00";5;0;16;0;0;0;0;0
96;"2021-07-15 20:45:00";4;0;1;0;0;0;0;0
97;"2021-07-15 21:00:00";2;0;3;0;0;0;0;0
98;"2021-07-16 06:00:00";5;1;15;0;0;0;0;0
99;"2021-07-16 06:15:00";5;2;20;0;0;1;0;0
100;"2021-07-16 06:30:00";5;1;24;0;0;4;0;0
101;"2021-07-16 06:45:00";9;0;23;1;0;1;0;0
102;"2021-07-16 07:00:00";7;1;58;0;0;2;0;0
103;"2021-07-16 07:15:00";6;1;43;0;3;4;0;0
104;"2021-07-16 07:30:00";7;1;85;1;0;2;0;0
105;"2021-07-16 07:45:00";12;1;66;0;1;3;0;0
106;"2021-07-16 08:00:00";10;1;77;0;1;4;0;0
107;"2021-07-16 08:15:00";18;1;61;0;2;3;0;0
108;"2021-07-16 08:29:59";15;1;44;1;0;2;0;0
109;"2021-07-16 08:45:00";12;7;47;0;1;5;0;0
110;"2021-07-16 09:00:00";12;1;57;1;0;1;0;0
111;"2021-07-16 09:15:00";23;0;66;1;0;2;0;0
112;"2021-07-16 09:30:00";8;1;69;0;0;1;0;0
113;"2021-07-16 09:45:00";14;0;56;0;1;6;0;0
114;"2021-07-16 10:00:00";16;0;52;0;1;3;0;0
115;"2021-07-16 10:15:00";4;0;48;0;1;3;0;0
116;"2021-07-16 10:30:00";17;0;53;1;0;4;0;0
117;"2021-07-16 10:45:00";10;1;55;0;0;3;0;0
118;"2021-07-16 11:00:00";17;0;77;0;0;4;0;0
119;"2021-07-16 11:14:59";13;1;64;0;0;2;0;1
120;"2021-07-16 11:29:59";13;0;44;0;1;2;0;0
121;"2021-07-16 11:44:59";17;0;53;0;0;2;0;0
122;"2021-07-16 12:00:00";15;0;47;0;0;4;0;0
123;"2021-07-16 12:15:00";7;0;65;0;1;2;0;0
124;"2021-07-16 12:30:00";15;0;46;3;1;3;0;0
125;"2021-07-16 12:45:00";13;0;53;0;0;3;0;0
126;"2021-07-16 13:00:00";7;0;54;2;0;1;0;0
127;"2021-07-16 13:15:00";15;0;53;0;0;2;0;0
128;"2021-07-16 13:30:00";10;1;43;1;0;1;0;0
129;"2021-07-16 13:45:00";16;0;57;0;0;4;0;0
130;"2021-07-16 14:00:00";5;0;64;0;0;0;0;0
131;"2021-07-16 14:15:00";16;0;55;1;0;1;0;0
132;"2021-07-16 14:30:00";4;0;77;1;1;3;0;0
133;"2021-07-16 14:45:00";18;0;52;3;2;7;0;0
134;"2021-07-16 15:00:00";23;0;79;0;1;3;0;0
135;"2021-07-16 15:15:00";7;0;57;0;1;5;0;0
136;"2021-07-16 15:30:00";15;1;63;1;0;6;0;0
137;"2021-07-16 15:45:00";8;0;59;1;0;5;0;0
138;"2021-07-16 16:00:00";15;0;61;0;1;4;0;0
139;"2021-07-16 16:15:00";27;0;65;0;1;3;0;0
140;"2021-07-16 16:30:00";17;0;71;1;1;1;0;0
141;"2021-07-16 16:44:59";15;0;66;1;1;1;0;0
142;"2021-07-16 17:00:00";14;0;52;3;0;4;0;0
143;"2021-07-16 17:15:00";11;0;42;0;0;1;0;0
144;"2021-07-16 17:30:00";8;0;33;1;0;1;0;0
145;"2021-07-16 17:45:00";8;0;40;0;0;1;0;0
146;"2021-07-16 18:00:00";14;0;38;1;0;1;0;0
147;"2021-07-16 18:15:00";20;0;45;0;0;2;0;0
148;"2021-07-16 18:30:00";22;1;29;3;1;0;0;0
149;"2021-07-16 18:45:00";18;0;29;0;0;1;0;0
150;"2021-07-16 19:00:00";8;0;24;1;0;0;0;0
151;"2021-07-16 19:15:00";7;1;18;0;0;0;0;0
152;"2021-07-16 19:30:00";8;0;15;0;0;0;0;0
153;"2021-07-16 19:45:00";3;0;16;0;0;0;0;0
154;"2021-07-16 19:59:59";2;0;27;0;0;0;0;0
155;"2021-07-16 20:15:00";8;0;15;1;0;0;0;0
156;"2021-07-16 20:30:00";8;0;21;0;0;0;0;0
157;"2021-07-16 20:45:00";6;0;13;0;0;0;0;0
158;"2021-07-16 21:00:00";6;0;11;0;0;0;0;0
159;"2021-07-17 06:45:00";3;0;6;2;0;3;0;0
160;"2021-07-17 07:00:00";4;0;28;0;0;0;0;0
161;"2021-07-17 07:15:00";5;0;18;0;0;4;0;0
162;"2021-07-17 07:30:00";10;1;28;0;0;2;0;0
163;"2021-07-17 07:45:00";7;1;32;1;0;1;0;0
164;"2021-07-17 08:00:00";16;0;49;1;0;1;0;0
165;"2021-07-17 08:15:00";6;0;41;0;0;3;0;0
166;"2021-07-17 08:30:00";10;0;41;0;0;6;0;0
167;"2021-07-17 08:45:00";24;0;46;1;0;0;0;0
168;"2021-07-17 09:00:00";9;0;63;0;1;1;0;0
169;"2021-07-17 09:15:00";6;0;49;0;0;2;0;0
170;"2021-07-17 09:30:00";13;0;51;0;0;0;0;0
171;"2021-07-17 09:45:00";14;0;65;0;0;1;0;0
172;"2021-07-17 09:59:59";11;0;62;0;0;4;0;0
173;"2021-07-17 10:15:00";10;1;68;0;0;3;0;0
174;"2021-07-17 10:30:00";13;3;45;0;0;2;0;0
175;"2021-07-17 10:45:00";8;0;71;0;1;2;0;0
176;"2021-07-17 11:00:00";25;0;87;2;1;2;0;0
177;"2021-07-17 11:15:00";18;0;51;0;0;4;0;0
178;"2021-07-17 11:30:00";9;0;50;1;0;0;0;0
179;"2021-07-17 11:45:00";15;0;55;0;1;2;0;0
180;"2021-07-17 12:00:00";6;0;68;1;0;2;0;0
181;"2021-07-17 12:15:00";10;0;75;1;2;0;0;0
182;"2021-07-17 12:30:00";14;1;42;1;1;1;0;0
183;"2021-07-17 12:45:00";13;0;59;1;0;0;0;0
184;"2021-07-17 13:00:00";6;0;67;0;0;1;0;0
185;"2021-07-17 13:15:00";3;0;48;0;0;0;0;0
186;"2021-07-17 13:30:00";14;0;45;0;0;1;0;0
187;"2021-07-17 13:45:00";13;0;39;0;0;1;0;0
188;"2021-07-17 14:00:00";6;0;52;2;1;1;0;0
189;"2021-07-17 14:15:00";16;0;48;1;0;0;0;0
190;"2021-07-17 14:30:00";12;0;40;0;0;1;0;0
191;"2021-07-17 14:45:00";19;0;31;2;0;1;0;0
192;"2021-07-17 15:00:00";21;3;54;1;0;2;0;0
193;"2021-07-17 15:15:00";10;0;44;1;1;1;0;0
194;"2021-07-17 15:30:00";10;1;37;0;1;1;0;0
195;"2021-07-17 15:45:00";12;0;48;0;1;1;0;0
196;"2021-07-17 16:00:00";10;0;44;2;0;1;0;0
197;"2021-07-17 16:15:00";10;0;37;0;0;0;0;0
198;"2021-07-17 16:30:00";5;0;46;1;0;0;0;0
199;"2021-07-17 16:45:00";7;0;43;0;0;1;0;0
200;"2021-07-17 16:59:59";18;1;35;0;1;2;0;0
201;"2021-07-17 17:15:00";10;0;22;0;1;0;0;0
202;"2021-07-17 17:30:00";10;0;32;0;0;0;0;0
203;"2021-07-17 17:45:00";12;0;41;0;0;0;0;0
204;"2021-07-17 18:00:00";29;0;18;1;0;0;0;0
205;"2021-07-17 18:15:00";22;0;19;0;0;0;0;0
206;"2021-07-17 18:30:00";1;0;18;0;0;0;0;0
207;"2021-07-17 18:45:00";10;0;21;0;0;1;0;0
208;"2021-07-17 19:00:00";9;0;24;0;1;0;0;0
209;"2021-07-17 19:15:00";16;0;20;0;0;1;0;0
210;"2021-07-17 19:29:59";20;0;13;0;0;0;0;0
211;"2021-07-17 19:45:00";8;0;17;0;0;0;0;0
212;"2021-07-17 20:00:00";1;0;14;0;0;0;0;0
213;"2021-07-17 20:15:00";8;1;12;0;0;0;0;0
214;"2021-07-17 20:30:00";9;0;8;0;0;0;0;0
215;"2021-07-17 20:45:00";4;0;8;0;0;0;0;0
216;"2021-07-17 20:59:59";5;0;5;0;0;0;0;0
217;"2021-07-18 08:15:00";3;1;32;0;0;0;0;0
218;"2021-07-18 08:30:00";15;0;27;1;0;0;0;0
219;"2021-07-18 08:45:00";8;0;38;0;0;0;0;0
220;"2021-07-18 09:00:00";8;0;39;0;0;0;0;0
